,Adherence (PDC > 75 % >75\% ),Cardiologist visit,Echocardiogram,ER visit
F F -statistic,1.6511,8.8929,3.8136,30.2204 ∗∗
p p -value,0.8950,0.1134,0.5766,0.0000 ∗∗
