Parameter,Value
dim,4096 4096 4096
n_layers,32 32 32
head_dim,128 128 128
hidden_dim,14336 14336 14336
n_heads,32 32 32
n_kv_heads,8 8 8
window_size,4096 4096 4096
context_len,8192 8192 8192
vocab_size,32000 32000 32000
